DocumentNumber,County,Narrative
20233147315,Franklin County,On 8/24/2023; at approximately 8:52 AM.; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser 163 was dispatched to N Glenwood Ave. and W. Broad St. in response to an auto accident. Upon arrival; Officer McDonald spoke with the driver of unit #2 who was identified by his Ohio drivers license as Brian Millar. Mr. Millar stated that he was in the turn lane facing W/B at W. Broad St. and N Glenwood Ave. to turn S/B. Mr. Millar stated that the driver of unit #1 was traveling E/B and veered into his lane resulting in the accident. Officer McDonald spoke with the driver of unit #1 who was identified by his Ohio temporary permit as David Bond. Mr. Bond stated that he crashed into Mr. Millar. Mr. Bond stated that he had just got off of work after working ten hours and believes that he fell asleep. As Mr. Bond was being issued the citation he then changed his version of the incident and stated that he didn't know what happened. Mr. Bond was issued a citation for fail to control and temporary permit violation. 
20233150047,Franklin County,Unit #2 was stationary facing westbound in the drive thru line at KFC. Unit #1 was driving southbound in the parking lot at Zettler Center Drive. Unit #1 stated she thought she was turning west and instead continued south driving off the elevated parking surface into the passenger door of Unit #2. Unit #2 complained of back pain and was treated on scene by CFD Medic 10. Unit #1 was cited for Failure to Control; Driving without a License; and Driving Under Financial Suspension. Unit #1 was arrested and slated for warrants on file. 
20233150182,Franklin County,On April 26th 2023; the driver of Unit 2; identified as Francis Tornes (OLN RT433174) was traveling East bound on Tussing Rd; then proceeded to turn left traveling North Bound on a unknown rd just South of Freedom Trail. Mr. Tornes was then rear ended by Unit 1 as Mr. Tornes attempted to turn into the McDonalds parking lot. Unit 1 then sped off continuing North bound on the unknown rd. Unit 1 was identifed as a white compact car. No physical description of the driver or license plate was seen. 
20233151422,Franklin County,On 8/30/2023; at approximately 9:31 AM.; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser 160 was dispatched to E. Main St. at the I71SB ramp in response to an auto accident with injury. Upon arrival Officer McDonald spoke with the driver of unit #1 who was identified by her Ohio drivers license as Sabrina Saadey. Ms. Saadey stated that she was traveling N/B off the I71Sb ramp to turn W/B on E. Main St. Ms. Saadey stated that she made the turn and crashed into unit #2.  Ms. Saadey stated that she was traveling in the E/B lane. Officer McDonald observed that the E/B lane only allows for traffic to travel N/B or make a E/B turn. Officer McDonald spoke with the driver of unit #2 who was identified by her Ohio drivers license as Ne'Vaeh Collins-Kyle. Ms. Collins-Kyle stated that she was in the W/B lane to travel N/B on the E. Main St. connector when the driver of unit #1 turned in front of her and caused the accident. Ms. Collins-Kyle was transported to Grant Hospital by CFD medic one for injuries sustained in the accident. Ms. Saadey was issued a citation for improper left turn. 
20233154366,Franklin County,Unit 2 was traveling Southbound on Hilliard Rome Rd.  Unit 1 was traveling Eastbound on US 40. Unit 1 failed to stop at a red light; striking Unit 2 in the right rear of the vehicle.  Unit 2 then continued up over the grass and came to a stop in the Taco Bell parking lot.  Unit 1 continued Eastbound on US 40.
20233160140,Franklin County,On 9/14/2023 at approximately 10:27 AM; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser 163 was dispatched to W. Broad St. and Marconi Blvd in response to an auto accident with injury. Upon arrival Officer McDonald spoke with the driver of unit #1 who was identified by his Ohio drivers license as Ronald Kientz. Mr. Kientz stated that he was turning E/B on W. Broad St. from Marconi Blvd. Mr. Kientz stated that he didn't see the pedestrian in the crosswalk and crashed into the pedestrian. Mr. Kientz stated that he believed the pedestrian had the right of way in the crosswalk. Officer McDonald spoke with Anthony Myers who stated that he was crossing the crosswalk when the driver of unit #1 crashed into him. Mr. Myers stated that he had the right of way in the crosswalk. Mr. Kientz was issued a citation for fail to yield to a pedestrian in the crosswalk. 
20233160221,Franklin County,On 9/16/2023 at approximately 9:10 AM; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser 163 was dispatched to W. Rich St. at McDowell St. in response to an auto accident with injury. Upon arrival Officer McDonald spoke with the driver of unit #2 who was identified by her Ohio drivers license as Airiyanna Luttrell. Ms. Luttrell stated that she was traveling W/B on W. Rich St. approaching McDowell St. Ms. Luttrell stated that the driver of unit #1 ran the stop sign and caused the accident. Officer T. Hammel #3155 spoke with the driver of unit #1 who was identified by his Ohio drivers license as Joseph McFadden. Mr. McFadden stated that he was traveling S/B on McDowell St. approaching W. Rich St. Mr. McFadden stated that he wasn't paying attention and ran the stop sign at McDowell St. and W. Rich St. Both vehicles were towed for the owners at scene. Mr. McFadden was issued a citation at scene. 
20233160529,Franklin County,On 9/17/2023; at approximately 8:01A.M.; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser 163 was dispatched to I-71 S/B at the I-70 E/B ramp in response to an auto accident. Upon arrival Officer McDonald spoke with the driver of unit #1 who was identified by OHLEG as Jalen Hutchins. Mr. Hutchins stated that he was traveling on I-71 S/B and merging onto the I-70 E/B ramp when he hydroplaned and struck a guard rail. Officer McDonald ran Mr. Hutchins through the LEADS database and Mr. Hutchins was driving under suspension. Mr. Hutchins was issued a citation for fail to control and driving under suspension. Mr. Hutchins' vehicle was impounded by Pro Tow. 
20233163804,Franklin County,Unit 1 was leaving the parking lot of Chipotle and Wendys to make a left turn to go west on Groveport Rd. Unit 1 observed a truck coming to which he reacted and changed his direction and struck Unit 2. Unit 1 was given a citation for failure to yield from private drive. 
20233164613,Franklin County,On 9/21/2023 at approximately 12:33 PM; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser 160 as unit 163; was dispatched to 365 Broadbelt Ln at the Arena Garage in response to an auto accident. Upon arrival Officer McDonald made contact with the owner of unit #2 who was identified by her Ohio drivers license as Kei Tsukamoto. Ms. Tsukamoto stated that her vehicle was parked in the parking garage on 9/20/2023. Ms. Tsukamoto stated that she observed damage to the front right of her vehicle but didn't have any contact with the driver of unit #1 who hit her vehicle. Ms. Tsukamoto made contact with Arena security who reviewed the security footage and observed a black Honda Pilot with Ohio tag KAV2012 attempt to park in a parking spot next to Ms. Tsukamoto's vehicle. The driver of unit #1; later idenfitied as Lucas Goodfellow; hits Ms. Tsukamoto's vehcile and then pulls away from unit #2 and parks in a different spot within the garage. Officer McDonald had Dublin PD respond to address of the registered owner of unit #1 to get their side of how the accident occured. Dublin PD spoke with the parent of Lucas Goodfellow; who stated that Lucas was scared and didn't know what to do in regards to exchanging information. Ms. Tsukamoto was given a CPD incident report number for the incident. 
20233165560,Franklin County,Unit #1 was parked in a parking spot in the Mcdonalds parking lot. Unit #2 was attempting to exiting the parking lot of Mcdonald's.  Unit #1 improperly backed from a parking spot; striking Unit #2. 
20233168634,Franklin County,U#1 was facing and traveling from N to S/E while exiting the parking lot of Wendy's 1920 Stringtown Rd Grove City; OH 43123.  U#2 was facing and traveling from E to W in the turn lane of Stringtown Rd.  U#1 failed to yield the right of way from a private drive striking its L/Front into U#2's R/F causing PDO.
20233172618,Franklin County,Unit 1 was located in the parking lot of Starbucks and Taco Bell. Unit 1 struck a concrete barrier causing damage to Starbucks property. Cruiser 91 attempted to make contact with the registered owner but was unsuccessful. The vehicle was impounded to the city impound lot. An employee of Taco Bell stated he was told by his manager that a week ago a female driving unit 1 struck the concrete barrier but no one ever called police to report the incident. Landscapers for Starbucks called police. 
20233178725,Franklin County,On 10/13/2023; at approximately 1:28 PM.; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser 163 was dispatched to E. Main St. and Parsons Ave. in response to an auto accident with injury. Upon arrival; Officer McDonald spoke with the driver of unit #1 who was identified by his Ohio driver license as Dwight Steward. Mr. Steward stated the brakes on his vehicle stopped working and he crashed into unit #2; who then was pushed into unit #3. Mr. Steward stated that after he struck unit #2 he turned his wheel to the left and side swiped unit #2 and unit #3. Mr. Steward was issued a citation for ACDA. Both unit #1 and unit #2 were impounded for the owners. 
20233180369,Franklin County,"On 10/16/2023; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser 163; along with Officer J. Clark #2544 working cruiser 162; were dispatched to the rear of 77 Belle St. in response to an auto accident with property damage only. Upon arrival; Officer Clark spoke with the driver of unit #1; Milexa Diaz-Perez. Ms. Diaz-Perez stated that she was attempting to park her vehicle and ""hit the gas instead of the brake."" As a result; Ms. Diaz-Perez struck unit #2; which was pushed into unit #3. Ms. Diaz-Perez was issued a citation for ACDA and No Operators License. "
20233182059,Franklin County,On 10/18/2023 at approximately 1:02 PM; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser 163 was dispatched to E. State St. at S. 6th St. in response to an auto accident hit skip. The driver of unit #2; Abdisamed Abdi; stated that he was traveling S/B on S. 6th St. approaching E. State St. Mr. Abdi stated that the driver of unit #1 struck the passengers side rear of his vehicle and sped off E/B on E. State St. Mr. Abdi stated that he believes the vehicle was a black Lincoln MKZ but stated that he wasn't able to get a license plate number or a description of the driver. Mr. Abdi was provided a incident report number for his insurance company. 
20233188366,Franklin County,UNTIS 1 & 2 WERE BOTH TRAVELING WEST ON E 5TH AVE JUST EAST OF N 9TH ST WHEN THE ACCIDENT OCCURRED.  UNIT 2 OPERATOR STATED UNIT 1 MADE A RIGHT TURN INTO HIS LANE AND STRUCK THE DRIVER SIDE FRONT CORNER OF HIS VEHICLE.  UNIT 1 OPERATOR STATED HE MADE A RIGHT TURN TOWARDS THE KFC PARKING LOT WHEN HE STRUCK UNIT 2.  UNIT 1 WAS AT FAULT AND CITED FOR IMPROPER RIGHT TURN.
20233190035,Franklin County,Unit 2 stated that he was behind unit 1 at a red light at the intersection of Bethel Rd and the entrance to Olengangy Plaza by the Wendys.  Unit 2 stated he was waiting behind unit 1 to head north on Bethel Rd.  Unit 2 stated unit 1 put his vehicle in reverse and started to back up and turn.  Unit 1 struck unit 2.  Unit 1 then left the scene eastbound on Bethel Rd and got onto 315 south.  Unit 2 described unit 1 as a gray vehicle.
20233190237,Franklin County,unit #1 was facing N/B and attempting to turn W/B across traffic. Unit #2 was traveling W/B on Granville St.  Driver of unit #1 was turning out of Wendy's; 77 Granville St; and turned into the side of unit #2. unit #1 was at fault and cited.     see cite #A204825
20233192613,Franklin County,Unit 1 was reversing out of a parking spot in a parking lot off Townsfair Way. The Unit 2 pedestrian was walking through the parking lot. Apparently neither party noted the other and the rear of Unit 1 struck the pedestrian in the lane of travel as she was walking across the parking lot. The pedestrian stated that she made contact with the driver and he aknowledged he had struck her. She stated he asked if she was ok but did not exit the vehicle. The pedestrian stated she was in shock and didn't really respond to the driver. She stated she walked away towards chipotle but did not enter the restaurant. The driver of Unit 1 proceeded to leave the scene of the accident. The pedestrian stated she did not request the Driver of Unit 1s information and that she was shocked the event had even occurred. She stated the driver had waved and she watched him drive away. The pedestrian did not want to be examined by a medic; did not complain of injury; did not walk with any type of limp or apparent injury; her clothing was in order and there was no dirt or smudge on them to indicate she had been in an accident.  she stated she had went to chipotle and gotten her food after the incident and then called police approximately 40 mins after it occurred and she had spoken to her boyfriend about the incident. A second officer performed a follow up on Unit 1s listed address; he was not home. 
20233195867,Franklin County,On 11/3/2023 at approximately 9:14 AM; Officer A. McDonald #2811 wearing the uniform of the day and working CPD marked cruiser 163; along with Officer N. Molnar #984 and Officer J. Clark #2544 working CPD marked cruiser 162 were disaptched to E. Spring St. at Willow Aly in response to an auto accident with injury. Upon arrival; Officer McDonald spoke with the driver of unit #1 who was identifeid by his Ohio drivers license as Jevon Collins. Mr. Collins stated that he was in the E/B lane exiting I71 S/B to Lester Dr. and E Spring St. Mr. Collins stated that he had the green line and proceeded S/B through the intersection at E. Spring St. and Lester Dr. Mr. Collins stated that the driver of unit #2 was travling W/B on Lester Dr. at E. Srping St. Mr. Collins stated that the driver of unit #2 ran the red light which resulted in the accident. Officer Clark and Officer Molnar spoke with the driver of unit #2 who was identified by his Ohio drivers license as Giuseppe Mangano. Mr. Mangano stated that he was traveling W/B on E. Spring St. approaching Lester Dr. Mr. Lester stated that he had the green light and proceeded through the intersection. Mr. Mangano stated that the driver of unit #1 ran the red light resulting in the accident. Officer Clark and Officer Molnar contacted two independent witnesses who stated that they saw the accident. One individual stated that they were behind 
20233198086,Franklin County,Officers arrived at 3788 W Broad St and observed Unit 2 with damage to the front right side. The driver of Unit 2 stated that she was pulling out of the Dunkin' Donuts and was making a left turn. The driver of Unit 2 stated that she had almost completed the left turn when Unit 1 was traveling south in the parking lot and struck her vehicle. The driver of Unit 2 stated that the driver of Unit 1 exited the vehicle and demanded cash immediately. The Driver of Unit 2  was getting her insurance card and called the police when the driver of Unit 1 re-enntered her vehicle and fled the scene. Officers attempted to obtain video footage from the Dunkin' Donuts but were unable to locate cameras that would have filmed the accident. 
20233198480,Franklin County,Crash occurred at 342 E Gay St.: DOMINOS. Per the victim; a customer came in and stated that the vestibule window was broken. The victim proceeded to inspect the window and believes an unknown vehicle hit the window and took off. No DOT; no suspect description; and no vehicle description.Estimated value is $750.00 to replace window.
20233198527,Franklin County,Driver of Unit 2 stated she was in the Taco Bell drive thru on the northwest corner of W 5th Avenue and Northwest Boulevard.  Driver of Unit 2 stated she was facing northbound behind other cars in line.  Driver of Unit 2 stated Unit 1 attempted to travel south in attempts to get around Unit 2.  Driver of Unit 2 stated Unit 1 slowly struck the front left portion of Unit 2.  Driver of Unit 2 stated Unit 1 never stopped after striking her vehicle.  Driver of Unit 1 is at fault for hit skip.  Drivr of Unit 2 stated that she wouild not be able to identify the driver of Unit 1 because the windows were tinted.  Driver of Unit 2 was able to get the license plate of Unit 1.  OH TAG JUP5759.  No injuries were reported.  
20233198742,Franklin County,Officers were dispatched to a report of hit-skip that occured at the intersection of Hamilton Rd. and Refugee Rd. Driver 2 stated that she was in the far right lane northbound on Hamilton Rd. and turning right onto Refugee heading East bound. As she was turning; a black 4 door sedan with tinted windows hit her vehicle on the driverside rear quater panel and drivers side rear tail light. Driver 2 stated that she was moving at about 10 MPH. Driver 2 stopped then driver 1 pulled into the parking lot of Wendy's about 50 feet East from the crash location and driver 2 followed into the parking lot. Both drivers got out of their vehicles. Driver 1 then got back into his vehicle and left the scene heading East on Refugee. 
20233199815,Franklin County,Unit 1 caused a traffic crash by rear-ending Unit 2 on private property; and then fleeing the scene without exchanging any information. Driver of unit 2 stated she was stopped in the drive-thru line at the McDonald's located at 1455 Cassady Avenue; when she was abruptly struck in the rear of the car by unit 1. Unit 2 driver got out and spoke briefly with unit 1 driver; who was stuck in the drive-thru lane momentarily. The driver handed unit 2 driver an old registration card; but nothing additional and never gave her his information or insurance info. Driver of unit 1 then drove out of the lot and fled onto I-670 Westbound. Unit 2 driver took a photo of unit 1's license plate; which registered to a local address at 1124 Lexington Avenue to a Mr. Bryan Birtcher. Officer Adkins later attempted contact at that home; but there was no answer at the door and the home appeared to possibly be vacant. Unit 2 was not found parked nearby either. Unit 1 driver was given the incident number for insurance purposes. 
20233200097,Franklin County,The driver of Unit #2 stated that she was stationary in the drive through line facing e/b at the Mcdonalds  (910 W. 5th Ave) when Unit #1 rear ended her vehicle. The driver and passenger of Unit #1 refused to exchange info and left the scene by forcing the driver of Unit #2 to take them to the area of E. Hudson St and Cleveland Ave. See P1 report (#########). No injuries were reported. Unit #1 was towed. 
20233200290,Franklin County,Unit 1 was traveling at a high rate of speed eastbound on E. Livingston Ave. Unit 1 made a right turn onto Baltimore Reynoldsburg Rd. running the red light. Unit 2 had the green light traveling southbound through the intersection from Lancaster Ave. Unit 1 struck Unit 2 on the right rear corner. Causing Unit 2 to spin up the embankment coming to rest in the Burger King parking lot. Unit 1 came to rest after spinning into the center lane of Baltimore Reynoldsburg Rd. The driver of Unit 1 stated he was traveling at speeds around 70-80 mph. The driver of unit 1 was cited.
20233202874,Franklin County,Officers mad contact with the driver of Unit 2 who stated they were traveling west in the parking lot of McDonalds into the drivethru when the driver of Unit 1 failed to yield to Unit 2 as unit 1 backed from a parking space. Unit 1 struck unit 2 with the rear right bumper; hitting Unit 2 on the rear left quarter. The driver of Unit 1 then left the scene of the accident without making contact with the driver of Unit 2.
20233206327,Franklin County,The Driver of Unit #2 stated he was traveling westbound on Tussing Rd. approaching Freedom Trail  heading to the McDonalds for food. The Driver of Unit #2 stated that Unit #1; an unknown black vehicle drove left of center; hit his passenger side mirror causing him to drive into the grass in the eastbound lanes striking a metal street sign that had the street names on it; rolling over and landing on top of a fire hydrant. The Driver of Unit #2 was unable to provide any description of Unit #1 other than it was black in color. The Driver of Unit #2 then stated he was in the turn lane; to turn onto Freedom Trail when the accident occurred; with Unit #1 coming straight at him causing him to swerve out of the way. The three passengers were also unable to provide any description of the vehicle other than it was black in color. The three passengers of Unit #2 all had slightly different stories of the event. Repositioning officers observed marks in the grass from Unit #2; the damage on Unit #2 is consistent with the Unit hitting a thick metal pole then rolling over and ending up on top of the fire hydrant. Three of the four occupants of Unit #2 were transported to Mount Carmel East Hospital. The Driver of Unit #2 stated his neck hurt. The left rear passenger was transported for a head ache and precaution due to her being pregnant. Continued on OH2
20233206558,Franklin County,Driver of Unit #1 stated that he was exiting the private drive of KFC when Unit #2 struck the front driverside of Unit #1. Driver of Unit #1 stated that he was stopped and was waiting for traffic to pass so that he could merge onto the roadway. Drive of Unit #1 stated that Unit #2 came out from around another vehcile and struck his. Rider of Unit #2  stated that she was riding her bike east on the service rd of Georgesville Rd when Unit #1 came out from the KFC. Rider of Unit # 2 stated that Unit #1 was partially in the roadway and when it struck her; Unit #2. Both Driver of Unit #1 and Rider of Unit #2 had conflicrting stories. No citations were issued due to having no idependent witnesses to confirm either side. Franklin Township Medic #192 responded to scene with no transports or treatment.
20233207573,Franklin County,Owner of Unit #2 states sometime overnight his vehicle was struck while it was legally parked and unoccupied on the street in front of 1681 Eastbrook Dr N. Owner of Unit #2 states his wife heard a noise around 2am on today's date. Witness #1; who lives a couple doors down; heard a loud noise around 1:30am and observed a dark colored SUV driving towards St.Lawrence Dr. Owner of Unit #2 drove around and observed a burgundy GMC; OH tag JDW9587; parked in front of 1852 St. Lawrence Dr. with fresh front end driver side damage. Owner of Unit #2 knocked on the door and got no answer. Said Officer made contact with the resident there who stated her neighbor at 1846 St. Lawrence Dr drives a burgundy GMC. She also stated she heard them outside talking about the damage which was on the front driver side. She then saw him drive off with the vehicle on a flat tire. Said officer attempted to make contact with the residents at 1846 St. Lawrence Dr. and got no answer at the door. Said officer also followed up on a tip the vehicle may be at the Wendy's at 1460 Harrisburg Pike. Said officer drove through the lot and found no vehicle matching the description. A peice of debris was taken from scene; but there was no vehicle found to match it to. There was paint transfer left behind which indicates a red/burgundy vehicle was involved. 
20233207841,Franklin County,Unit 1 was e/b on Morse Rd west of Trindel Way in the left thru lane. Unit 2 was e/b on Morse Rd west of Trindel Way in the center thru lane. Unit 1 came into Unit 2's lane causing the passenger side of Unit 1 to strike the rear left side of Unit 2. This is according to the driver of Unit 2; who stated Unit 1 did not stop at the scene and continued e/b on Morse Rd. The driver of unit 2 described Unit 1 as a white Toyota; possibly a Prius; bearing tag KFC137; which came back not on file. The driver of Unit 2 stated Unit 1 had a smashed passenger mirror and a black streak on the side. Unit 2 is a school bus for Westerville Schools which was equipped with a camera that may be able to obtain Unit 1's license plate at a later time. No injuries were reported and both units were driven from the scene.
20233208869,Franklin County,The incident occured at the intersection of Hilliard Rome Road and Renner Road. Upon arrival Officer made contact with unit# 1 who was traveling North bound on Hilliard Rome Rd attempting to make a left hand turn and head West on Renner Road. Unit#2 was traveling  South bound on Hilliard Rome Road and had a green light at the intersection. Unit #1 failed to yield on a left hand turn and was struck by unit #2 in the right rear of the unit. Unit #2 had damage on the left front. Unit #2 was traveling in the lane closest to the curb. After unit#2 made contact with unit# 1; Unit# 1 then continued off the roadway and struck a tree in the grass area between Hilliard Rome Road and the Mcdonalds restaurant parking lot. Officer then issued a citation to unit# 1 for failure to yield on a left hand turn. Unit #1 was then towed by request of the owner for safekeeping. An inventory of the vehicle was performed and the vehicle was towed to 2700 impound lot rd. Unit #1 and unit #2 exchanged insurance information and was provided a report number. No injuries were reported and unit #2 was able to leave the scene. 
20233212972,Franklin County,Officers were dispatched to a report of an injury crash. Officers observed disabling front damage to Unit 1 and Unit 2; who were each in the private parking lot of a Wendy's. The driver of Unit 1 (D1) and the driver of Unit 2 (D2) each stated D1 was driving west on Sullivant Ave approaching Crescent Rd and D2 was driving east on Sullivant Ave approaching Crescent Rd. D1 and D2 said both vehicles collided head-on while in the center eastbound lane of travel. D1 stated due to the heavy rainfall; he lost grip with the roadway and subsequently control of his vehicle and went left of the center line; striking Unit 1 head-on; causing the observed damage. D1 said he was attempting to turn left to go into the Wendy's parking lot on the southeast corner of Sullivant Ave/Crescent Rd. Based on the statements and visible damage; Unit 1 was found to be the at-fault vehicle and D1 was cited for Fail to Control on Citation #CPD031491. Both drivers complained of minor injuries (D1 bruising to his nose and D2 soreness in her legs) and each were treated by CFD medic #12 prior to officer's arrival. Unit 1 was impounded by a private tow truck at the request of D1. Unit 2 attempted to drive home but was later impounded by a private tow truck prior to her arrival at her house. 
20233217303,Franklin County,Driver of unit #2 stated she was stopped in traffic northbound on S. High St at Southland when unit #1 struck her in the rear. Driver of unit #2 stated the driver of unit #1 switched lanes and pulled into the apartments on Highview Landing; northeast of the crash location. Driver of unit #2  followed unit #1 and snapped a picture of the truck and its license plate. Driver #2 stated she yelled to driver #1 that he crashed into her and he said he was sorry; but refused to exchange information. Driver #2 described driver #1 as a younger male white with dark hair. Driver #2 then went to the McDonald's at S High St/Highview Blvd to wait for police. Officers were unable to locate unit #1 in the Highview Landing apartments; and had a 15 precinct officer check the last registered address for it as well; but did not locate it. 
20233220333,Franklin County,Unit 1 was waiting in the drive thru line at Wendys; Unit 2 was also waiting in line right behind Unit 1. Unit 1 for an unknown reason began to back there vehicle up and strike Unit 2. Unit 2 and Unit 1 both exited the vehicles and Unit 1 stated that she did not do any damage to Unit 2. Unit 2 stated that she cracked the bumper. Unit 1 got back into her vehicle and fled the scene. Unit 2 was able to get the license plate of Unit 1.  The license plate fits the description of the vehicle Unit 2 described. 
20233220357,Franklin County,On the listed date; time; and place Ofc. Bingham was dispatched to investigate a automobile crash. Upon arriving on scene Ofc. Bingham was met by the occupants of  Unit 1. Both occupants along with one witness stated that Unit 2 took off around the building after an argument at the order window at the Taco Bell. Unit 2 then came up behind Unit 1 and struck it in the right rear part of its bumper. Unit 2 then drove off southbound on Cleveland Ave. The witness and the victims were able to get a license plate from Unit 2. Ofc. Bingham advised Unit 1 occupants that a report would be taken and cleared the scene. Nothing further.  Recorded on B/C-66
20233220875,Franklin County,On 12/1/2023 at approximately 4:03 PM; Officer A. McDonald #2811 and Officer C. Canonico #3162 were dispatched to 411 Berkeley Rd. in response to an auto accident hit-skip. Upon arrival; officers spoke with the driver of unit #2 who identified himself as Morris Bryant. Mr. Bryant stated that he was traveling S/B on N. Nelson Rd. from E. 5th Ave. Mr. Bryant stated that he was coming to a stop in traffic when a silver Ford F-150 with Ohio tag JSG7585 crashed into the rear of his vehicle. Mr. Bryant stated that the silver Ford F-150 went left of center and continued traveling S/B on N. Nelson Rd. Mr. Bryant stated that he attempted to follow the vehicle but lost sight of the vehicle at Bryden Rd. and S. Nelson Rd. Mr. Bryant described the driver as a male white approximately thirty years old. Officers ran Ohio tag JSG7585 through the LEADS database and the tag didn't come back to a silver Ford F-150. Officers attempted to make contact at the listed address associated to tag JSG7585; but didn't receive a answer at the door. Mr. Bryant was given a incident report number and advised to contact his insurance company. 
20233222933,Franklin County,The traffic crash occurred on E. 17th Ave west of Jefferson Ave. The driver of Unit #1 left the scene of the accident but returned a short time later and stated he could not stop in time and struck Unit #2 in the rear causing damage. The driver of Unit #2 stated he was stopped in traffic when Unit #1 struck him from behind. The driver of Unit #2 also left the scene and drove to the McDonald's located at 821 E. 17th Ave where he contacted the police to report the traffic crash. The driver of Unit #2 was transported to OSU Main Hospital with lower back pain. The driver of Unit #1 was cited for ACDA. There were no other injuries reported at the scene.
20233223971,Franklin County,Unit #2 was traveling east on Tussing Rd at approximately 40 MPH in the right lane. The driver of Unit #2 stated that he changed lanes to continue east in the left lane; when Unit #1 attempted t complete a U-Turn in front of him. The driver of Unit #2 stated that as he continued forward; he struck Unit #1. The vehicles stayed in collision; crossing over the median and going off the side of the road into a ditch.The driver of Unit #1 stated that she had not attempted to make a U-Turn when she was struck by Unit #2. One occupant of Unit #1 was transported from the scene in stable condition by CFD Medic 32; for minor injuries. No other involved parties were injured from the crash. Officers spoke with several witnesses who stated that Unit #1 had attempted to make the U-Turn as the driver of Unit #2 had stated. Officers also watched footage from the nearby Taco Bell;  provided by the Listed Witness who is an employee there; which corroborated the Driver of Unit #2's story of events. Unit #1 was deemed at fault and issued a traffic citation for a U-Turn. Both Units had received disabling damage and were towed away from scene.  
20233224054,Franklin County,On March 30th at approximately 1:08 AM; west of the Harrisburg pike and Mound Street intersection; a silver scion XA(unit one) was traveling westbound on Mound Street when it veered off to the south side of the street; crossing the center line striking a stationary black ford fusion (unit 2) on the passenger side rear. After striking unit 2; unit one struck the north east coroner of the building located at 627 Harrisburg pike. The driver of unit one fled the scene before Police showed up. Unit 2 was in the driveway of the shopping center located at 627 Harrisburg pike when it was struck.   A witness that works at the Mcdonald's on the corner said he saw the accident. The witness stated that unit #2 was stationary in the driveway; about to pull out onto the street; when unit #1 struck unit #2 on the Passenger side rear of the vehicle. The witness stated that the driver of unit one was a female and she fled the scene right after the crash. 
20233224873,Franklin County,Unit 1 stated they picked up an order from Mcdonalds for Door Dash and backed out of her parking spot. Unit 1 stated the parking lot was extremely congested at the time of pick up. Unit 1 stated an employee was sweeping the parking lot and while backing she brushed him with her vehicle; however she did not see nor feel the impact and left the scene. Upon her arrival to pick up another order she saw Police on scene. Unit 2 stated he was sweeping and was struck by Unit 1 while his back was to her. Unit 2 stated he did not fall. Unit 2 watched Unit 1 leave scene without stopping. Unit 2 refused a medic to check his injuries.   Upon review of Mcdonalds Camera system it was confirmed that Unit 1 backed into Unit 2 and did not stop after the accident. 
20233225389,Franklin County,Driver of Unit 2 stated Unit 1 pulled out of the KFC lot attempting to turn left and failed to yield to traffic. Damages to both vehicles align with this account. Driver of Unit 1 when asked was unable to recount what happened. Driver of Unit 1 was cited with 2131.17A Failure to Yield - Left Turn CPD089818
20233225853,Franklin County,Unit #2 was traveling north on the side street of W Broad St between McDonalds and Taco Bell. When Unit #2 was approaching W Broad Street; Unit #1 came  out of the Taco Bell parking lot from the east at a high rate of speed and was about to hit Unit #2. In response; Unit #2 swerved clear of Unit #1 and side swiped the pole in the median. Unit #1 left the scene while Unit #2 went home and called officers for a report.
20233227568,Franklin County,"On the above listed date and time; at the above listed address; officers were dispatched to a report of hit/skip auto accident in the Burger King drive-through. When officers arrived; they made contact with the driver of Unit #2; who stated he was in he drive-through ordering food when Unit #1 rear ended him. He stated that both drivers got out of their vehicles and when he started to contact police; the driver of Unit #1 got back into their vehicle and left the scene heading into the Walmart parking lot. The driver of Unit #2 described the driver of Unit #1 as a female hispanic; about 5'3"" and 180 pounds; and around 35 years old. Officers observed visible damage to the rear bumper and back hatch of Unit #2. The driver of Unit #2 was able to take a photgraph of Unit #1 and the OH Tag. Officers provided he driver of Unit #2 with the incident number and advised they would be making a report. There were no injuries and Unit #2 was driven from scene."
20233230599,Franklin County,On the listed date and time driver of Unit #2 was attempting to leave the Chipotle parking lot to turn West onto Morse Rd. When doing so Unit #2 was rear ended causing minor damage to the rear left bumper. Unit #1 failed to exchange information and left the scene. 
